country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",11-09-2026 05:00:00,28.674045,77.131023,PM2.5,27.0,123.0,70.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",11-09-2026 05:00:00,28.6514781,77.1473105,PM2.5,22.0,68.0,41.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",11-09-2026 05:00:00,28.6514781,77.1473105,NO2,59.0,87.0,68.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",11-09-2026 05:00:00,28.6514781,77.1473105,SO2,2.0,16.0,11.0
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",11-09-2026 05:00:00,28.636429,77.201067,PM2.5,27.0,123.0,47.0
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",11-09-2026 05:00:00,28.636429,77.201067,PM10,107.0,129.0,116.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",11-09-2026 05:00:00,28.656756,77.227234,CO,63.0,75.0,68.0
India,Delhi,Delhi,"Pusa, Delhi - IITM",11-09-2026 05:00:00,28.63611,77.173332,NH3,,,
India,Delhi,Delhi,"Pusa, Delhi - IITM",11-09-2026 05:00:00,28.63611,77.173332,CO,35.0,60.0,48.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",11-09-2026 05:00:00,28.647622,77.315809,SO2,25.0,34.0,30.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",11-09-2026 05:00:00,28.7500499,77.1112615,NO2,18.0,31.0,23.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",11-09-2026 05:00:00,28.7500499,77.1112615,NH3,3.0,9.0,7.0
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",11-09-2026 05:00:00,28.594169,77.1251,NO2,6.0,18.0,11.0
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",11-09-2026 05:00:00,28.594169,77.1251,CO,47.0,93.0,77.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",11-09-2026 05:00:00,28.710508,77.249485,NO2,11.0,35.0,23.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",11-09-2026 05:00:00,28.7762,77.051074,NH3,4.0,9.0,6.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",11-09-2026 05:00:00,28.7762,77.051074,SO2,8.0,10.0,9.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",11-09-2026 05:00:00,28.732528,77.11992,NH3,3.0,4.0,3.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",11-09-2026 05:00:00,28.672342,77.31526,NO2,29.0,95.0,48.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",11-09-2026 05:00:00,28.672342,77.31526,SO2,6.0,10.0,7.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",11-09-2026 05:00:00,28.73282,77.170633,NH3,9.0,10.0,10.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",11-09-2026 05:00:00,28.6811736,77.3025234,PM10,87.0,136.0,105.0
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM",11-09-2026 05:00:00,28.422681,77.148944,NH3,,,
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM",11-09-2026 05:00:00,28.422681,77.148944,SO2,,,
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM",11-09-2026 05:00:00,28.422681,77.148944,OZONE,7.0,10.0,8.0
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",11-09-2026 05:00:00,28.4227,77.0667,PM10,40.0,128.0,86.0
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",11-09-2026 05:00:00,28.4227,77.0667,SO2,6.0,9.0,8.0
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",11-09-2026 05:00:00,28.4227,77.0667,CO,23.0,37.0,31.0
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",11-09-2026 05:00:00,28.4501238,77.0263051,PM2.5,71.0,403.0,214.0
India,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.6603346,77.3572563,PM2.5,15.0,154.0,70.0
India,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.6603346,77.3572563,OZONE,17.0,137.0,47.0
India,Uttar Pradesh,Ghaziabad,"Ved Vihar-Loni, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.739153,77.273668,PM2.5,105.0,181.0,135.0
